MEDIENNR;VERFASSERIN;TITEL;MEDIENGRUPPE;SYSTEMATIK;ANZAHL_AUSLEIHEN;ANZAHL_TITEL
1068688;Kinney, Jeff;Geht's noch?;Buch;JE;1671;122
1097799;Kinney, Jeff;Keine Panik!;Buch;JE;1658;116
0971932;Kinney, Jeff;Jetzt reicht's!;Buch;JE;1598;118
1013354;Kinney, Jeff;Ich war's nicht!;Buch;JE;1518;109
0920034;Kinney, Jeff;Von Idioten umzingelt!;Buch;JE;1437;105
1152807;Kinney, Jeff;Dumm gelaufen;Buch;JE;1382;99
0938732;Kinney, Jeff;Gibt's Probleme?;Buch;JE;1323;106
1198322;Kinney, Jeff;Echt übel!;Buch;JE;1244;85
1068739;Bornstädt, Matthias ¬von¬;Wickie wird entführt;Buch;JM.C;1074;76
1116806;Bornstädt, Matthias ¬von¬;Wickie in der Klemme;Buch;JM.C;1072;78
1068738;Bornstädt, Matthias ¬von¬;¬Das¬ große Hicksen;Buch;JM.C;970;80
1192957;Hunter, Erin;Blausterns Prophezeiung;Buch;JM.F;888;86
1191944;Schirach, Ferdinand ¬von¬;Tabu;Buch;DR.D;866;72
1087345;Hunter, Erin;¬Das¬ Gesetz der Krieger;Buch;JM.F;840;76
1198282;Jonasson, Jonas;¬Die¬ Analphabetin, die rechnen konnte;Buch;DR;798;51
1041514;Vogel, Maja ¬von¬;Herzklopfen!;Buch;JE.D;796;72
1168612;Leon, Donna;Tierische Profite;Buch;DR.D;793;57
1070589;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss auf der Suche nach Atlantis;Buch;JM;774;60
1068253;Vogel, Maja ¬von¬;Falsches Spiel im Internat;Buch;JE.D;766;68
1093229;Jonasson, Jonas;¬Der¬ Hundertjährige, der aus dem Fenster stieg und verschwand;Buch;DR;754;61
1087192;Beer, Hans ¬de¬;Lars, bring uns nach Hause!;Buch;JD.R;752;72
0988857;Nöstlinger, Christine;Detektivgeschichten vom Franz;Buch;JE.C;736;59
1044015;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und die starken Wikinger;Buch;JM;730;53
1183675;Rossmann, Eva;Männerfallen;Buch;DR.D;729;47
1103311;Glattauer, Daniel;Ewig Dein;Buch;DR;727;70
1124066;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss reist in die Steinzeit;Buch;JM;727;53
1118270;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss im Weltraum;Buch;JM;711;53
1121352;Vogel, Maja ¬von¬;Mia Meermädchen und der Korallenschatz;Buch;JM.C;700;54
1183689;Winter, Léon ¬de¬;¬Ein¬ gutes Herz;Buch;DR;692;86
0965008;Vogel, Maja ¬von¬;V.I.P.-Alarm;Buch;JE.D;684;60
1198296;Mankell, Henning;Mord im Herbst;Buch;DR.D;681;45
1125967;Hunter, Erin;¬Das¬ Schicksal des WolkenClans;Buch;JM.F;672;70
1062528;Collins, Suzanne;Flammender Zorn;Buch;JM.U;671;52
1123985;Dietl, Erhard;¬Die¬ Olchis und der Schmuddel-Hund;Buch;JM.C;666;47
1125939;Leon, Donna;Himmlische Juwelen;Buch;DR.D;666;58
1182038;Adler-Olsen, Jussi;Erwartung;Buch;DR.E;664;48
1198290;Nesbø, Jo;Koma;Buch;DR.D;663;44
1222057;Kürthy, Ildikó ¬von¬;Sternschanze;Buch;DR;662;80
1214347;Beer, Hans ¬de¬;Hase und Maulwurf;Buch;JD;656;80
0988844;Dietl, Erhard;¬Die¬ stärksten Olchis der Welt;Buch;JM.C;656;47
1184089;Hunter, Erin;Mitternacht;Compact Disc;CD.JM.F;656;76
1044436;Hunter, Erin;In die Wildnis;Compact Disc;CD.JM.F;646;76
1033915;Dietl, Erhard;¬Die¬ Olchis auf dem Schulfest;Buch;JM.C;642;48
1065964;Osborne, Mary Pope;Gefangen im Elfenwald;Buch;JM;640;48
1164667;Walker, Martin;Femme fatale;Buch;DR.D;634;51
1215356;Glattauer, Daniel;¬Die¬ Wunderübung;Buch;DD.D;634;46
1214330;Beckett, Simon;¬Der¬ Hof;Buch;DR.E;625;43
0938423;Vogel, Maja ¬von¬;Spuk am See;Buch;JE.D;624;58
0988820;Collins, Suzanne;Tödliche Spiele;Buch;DR.JU;622;51
1188597;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss bei den Dinosauriern;Buch;JM;621;47
0990623;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss und das Vampir-Abenteuer;Buch;JM;620;48
1168610;Brown, Dan;Inferno;Buch;DR.E;616;52
0938656;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss im Spukschloss;Buch;JM;616;46
1212467;Murakami, Haruki;¬Die¬ Pilgerjahre des farblosen Herrn Tazaki;Buch;DR;614;43
1020361;Vogel, Maja ¬von¬;Undercover im Netz;Buch;JE.D;614;54
1168961;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss - Schulausflug ins Abenteuer;Buch;JM;613;45
